Record URL,Generic Code,Student Code,Program Originator,Country/Activity Code,Type of Assistance Code,Program Year,Select Item Description Number,Total Delivery Cost
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71622&rlst=71619,71620,71621,71622,71623,71624,71625,71629,71631,71640","Tactical and Support Vehicles, Trucks: 5 ton truck-tractors",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRUCKS 5T [Ton] ALL TYPES,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71623&rlst=71619,71620,71621,71622,71623,71624,71625,71629,71631,71640","Tactical and Support Vehicles, Trailers: Cargo",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRAILERS ALL TYPES,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71624&rlst=71619,71620,71621,71622,71623,71624,71625,71629,71631,71640","Supplies, Medical Supplies: Other dental and medical supplies",,MAAG [Military Assistance Advisory Group] (Air Force),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,OTHER SUPPLIES,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71625&rlst=71619,71620,71621,71622,71623,71624,71625,71629,71631,71640","Aircraft, Aircraft Spares and Spare Parts: Aircraft Components, Parts & Accessories",,MAAG [Military Assistance Advisory Group] (Air Force),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,AIRCRAFT SPARE PARTS,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71629&rlst=71619,71620,71621,71622,71623,71624,71625,71629,71631,71640","Aircraft, Airlift Aircraft: Cargo/Transport",,MAAG [Military Assistance Advisory Group] (Air Force),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,AIRCRAFT CARGO C-47,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71631&rlst=71619,71620,71621,71622,71623,71624,71625,71629,71631,71640","Weapons, Weapon Spare Parts, Components and Accessories: Weapons",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,WEAPONS SPARES,11378
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71640&rlst=71619,71620,71621,71622,71623,71624,71625,71629,71631,71640","Ammunition, Ammunition up to 75 mm [Millimeter] and Grenades: 57mm",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,CART 37MM  [Millimeters] TO 75MM,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71641&rlst=71641,71642,71643,71644,71645,71646,71647,71648,71649,71589","Ammunition, Ammunition up to 75 mm [Millimeter] and Grenades: 57mm",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,CART 37MM  [Millimeters] TO 75MM,0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71642&rlst=71641,71642,71643,71644,71645,71646,71647,71648,71649,71589","Weapons, Weapons, up to 75mm [Millimeter]: Other weapons, up to 75mm [Millimeter]",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,OTHER WEAPONS UP TO 75MM [Millimeters],0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71643&rlst=71641,71642,71643,71644,71645,71646,71647,71648,71649,71589","Support Equipment, Other Equipment: Power and distribution equipment",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,MISC [Equipment] OTHER SUPPORT EQP [Equipment],0
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=1&rid=71644&rlst=71641,71642,71643,71644,71645,71646,71647,71648,71649,71589","Weapons, Weapons, up to 75mm [Millimeter]: Machine Guns",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,MACHINE GUNS,0
